KEY:NONE --- 0@-1 --- 还 AD DP:advmod DPW:当 DPPOS:VV OP:NONE EM:NONE
KEY:NONE --- 1@0 --- 可以 VV DP:mmod DPW:当 DPPOS:VV OP:NONE EM:NONE
KEY:NONE --- 2@1 --- 当 VV DP:root DPW:ROOT DPPOS:ROOT OP:NONE EM:NONE
KEY:NONE --- 3@2 --- 摄像头 NN DP:dobj DPW:当 DPPOS:VV OP:NONE EM:NONE
KEY:NONE --- 4@3 --- 用 VV DP:conj DPW:当 DPPOS:VV OP:NONE EM:NONE
KEY:NONE --- 5@4 --- 。 PU DP:NONE DPW:NONE DPPOS:NONE OP:NONE EM:NONE

KEY:ATTR --- 0@-1 --- 清晰度 NN DP:nsubj DPW:摄像头 DPPOS:VV OP:NONE EM:NONE
KEY:NONE --- 1@0 --- 比 VV DP:mmod DPW:摄像头 DPPOS:VV OP:NONE EM:NONE
KEY:NONE --- 2@1 --- 摄像头 VV DP:root DPW:ROOT DPPOS:ROOT OP:NONE EM:NONE
KEY:NONE --- 3@2 --- 好多 CD DP:range DPW:摄像头 DPPOS:VV OP:NONE EM:NONE
KEY:NONE --- 4@3 --- 了 SP DP:dep DPW:摄像头 DPPOS:VV OP:NONE EM:NONE
KEY:NONE --- 5@4 --- 。 PU DP:NONE DPW:NONE DPPOS:NONE OP:NONE EM:NONE

KEY:NONE --- 0@-1 --- 近 JJ DP:amod DPW:距离 DPPOS:NN OP:NONE EM:NONE
KEY:NONE --- 1@0 --- 距离 NN DP:top DPW:有 DPPOS:VE OP:NONE EM:NONE
KEY:NONE --- 2@1 --- 有 VE DP:root DPW:ROOT DPPOS:ROOT OP:NONE EM:NONE
KEY:NONE --- 3@2 --- 很 AD DP:advmod DPW:大 DPPOS:JJ OP:NONE EM:NONE
KEY:OP --- 4@3 --- 大 JJ DP:amod DPW:视差 DPPOS:NN OP:NONE EM:NONE
KEY:ATTR --- 5@4 --- 视差 NN DP:dobj DPW:有 DPPOS:VE OP:NONE EM:NONE
KEY:NONE --- 6@5 --- 。 PU DP:NONE DPW:NONE DPPOS:NONE OP:NONE EM:NONE

KEY:NONE --- 0@-1 --- 镜头 NN DP:lobj DPW:后 DPPOS:LC OP:NONE EM:NONE
KEY:NONE --- 1@0 --- 后 LC DP:assmod DPW:玻璃片 DPPOS:NN OP:NONE EM:NONE
KEY:NONE --- 2@1 --- 的 DEG DP:assm DPW:后 DPPOS:LC OP:NONE EM:NONE
KEY:ATTR --- 3@2 --- 玻璃片 NN DP:nsubj DPW:发霉 DPPOS:VV OP:NONE EM:NONE
KEY:NONE --- 4@3 --- 容易 AD DP:advmod DPW:发霉 DPPOS:VV OP:POS EM:NONE
KEY:OP --- 5@4 --- 发霉 VV DP:root DPW:ROOT DPPOS:ROOT OP:NONE EM:NONE
KEY:NONE --- 6@5 --- 。 PU DP:NONE DPW:NONE DPPOS:NONE OP:NONE EM:NONE

KEY:OP --- 0@-1 --- 玩具 NN DP:NONE DPW:NONE DPPOS:NONE OP:NONE EM:NONE
KEY:NONE --- 1@0 --- 。 PU DP:NONE DPW:NONE DPPOS:NONE OP:NONE EM:NONE

KEY:OP --- 0@-1 --- 便宜 VA DP:NONE DPW:NONE DPPOS:NONE OP:POS EM:NONE

KEY:OP --- 0@-1 --- 简单 VA DP:NONE DPW:NONE DPPOS:NONE OP:POS EM:NONE

KEY:NONE --- 0@-1 --- 2-3分 CD DP:NONE DPW:NONE DPPOS:NONE OP:NONE EM:NONE

KEY:NONE --- 0@-1 --- 1 CD DP:nummod DPW:1.8ccd DPPOS:CD OP:NONE EM:NONE
KEY:NONE --- 1@0 --- / PU DP:NONE DPW:NONE DPPOS:NONE OP:NONE EM:NONE
KEY:NONE --- 2@1 --- 1.8ccd CD DP:nsubj DPW:多 DPPOS:VA OP:NONE EM:NONE
KEY:NONE --- 3@2 --- , PU DP:NONE DPW:NONE DPPOS:NONE OP:NONE EM:NONE
KEY:ATTR --- 4@3 --- 分辨率 NN DP:conj DPW:色彩 DPPOS:NN OP:NONE EM:NONE
KEY:NONE --- 5@4 --- 和 CC DP:cc DPW:色彩 DPPOS:NN OP:NONE EM:NONE
KEY:ATTR --- 6@5 --- 色彩 NN DP:nsubj DPW:多 DPPOS:VA OP:NONE EM:NONE
KEY:NONE --- 7@6 --- 比 P DP:prep DPW:好 DPPOS:VA OP:NONE EM:NONE
KEY:NONE --- 8@7 --- 一般 JJ DP:assmod DPW:万 DPPOS:CD OP:NONE EM:NONE
KEY:NONE --- 9@8 --- 的 DEG DP:assm DPW:一般 DPPOS:JJ OP:NONE EM:NONE
KEY:NONE --- 10@9 --- 130 CD DP:nummod DPW:万 DPPOS:CD OP:NONE EM:NONE
KEY:NONE --- 11@10 --- 万 CD DP:pobj DPW:比 DPPOS:P OP:NONE EM:NONE
KEY:NONE --- 12@11 --- 要 AD DP:advmod DPW:好 DPPOS:VA OP:NONE EM:NONE
KEY:OP --- 13@12 --- 好 VA DP:nsubj DPW:多 DPPOS:VA OP:NONE EM:NONE
KEY:NONE --- 14@13 --- 的 DEC DP:cpm DPW:好 DPPOS:VA OP:NONE EM:NONE
KEY:NONE --- 15@14 --- 多 VA DP:root DPW:ROOT DPPOS:ROOT OP:NONE EM:NONE

KEY:NONE --- 0@-1 --- 用 VV DP:root DPW:ROOT DPPOS:ROOT OP:NONE EM:NONE
KEY:NONE --- 1@0 --- 2CR5 CD DP:nummod DPW:电池 DPPOS:NN OP:NONE EM:NONE
KEY:ATTR --- 2@1 --- 电池 NN DP:dobj DPW:用 DPPOS:VV OP:NONE EM:NONE
KEY:NONE --- 3@2 --- ， PU DP:NONE DPW:NONE DPPOS:NONE OP:NONE EM:NONE
KEY:NONE --- 4@3 --- 太 AD DP:advmod DPW:贵 DPPOS:VA OP:NONE EM:NONE
KEY:OP --- 5@4 --- 贵 VA DP:conj DPW:用 DPPOS:VV OP:NONE EM:NONE
KEY:NONE --- 6@5 --- 了 AS DP:asp DPW:贵 DPPOS:VA OP:NONE EM:NONE
KEY:NONE --- 7@6 --- ， PU DP:NONE DPW:NONE DPPOS:NONE OP:NONE EM:NONE
KEY:NONE --- 8@7 --- 还是 CC DP:cc DPW:用 DPPOS:VV OP:NONE EM:NONE
KEY:NONE --- 9@8 --- 个 M DP:clf DPW:电老虎 DPPOS:NN OP:NONE EM:NONE
KEY:OP --- 10@9 --- 电老虎 NN DP:conj DPW:用 DPPOS:VV OP:NONE EM:NONE

KEY:NONE --- 0@-1 --- 国内 NN DP:nn DPW:水货 DPPOS:NN OP:NONE EM:NONE
KEY:NONE --- 1@0 --- 只有 AD DP:advmod DPW:水货 DPPOS:NN OP:NONE EM:NONE
KEY:NONE --- 2@1 --- 水货 NN DP:nsubj DPW:有 DPPOS:VE OP:NONE EM:NONE
KEY:NONE --- 3@2 --- ， PU DP:NONE DPW:NONE DPPOS:NONE OP:NONE EM:NONE
KEY:NONE --- 4@3 --- 二 CD DP:nummod DPW:手 DPPOS:NN OP:NONE EM:NONE
KEY:NONE --- 5@4 --- 手 NN DP:nn DPW:市场 DPPOS:NN OP:NONE EM:NONE
KEY:NONE --- 6@5 --- 市场 NN DP:lobj DPW:上 DPPOS:LC OP:NONE EM:NONE
KEY:NONE --- 7@6 --- 上 LC DP:loc DPW:有 DPPOS:VE OP:NONE EM:NONE
KEY:NONE --- 8@7 --- 有 VE DP:root DPW:ROOT DPPOS:ROOT OP:NONE EM:NONE
KEY:NONE --- 9@8 --- 便宜货 NN DP:dobj DPW:有 DPPOS:VE OP:NONE EM:NONE

KEY:NONE --- 0@-1 --- 金属 NN DP:assmod DPW:外壳 DPPOS:NN OP:NONE EM:NONE
KEY:NONE --- 1@0 --- 的 DEG DP:assm DPW:金属 DPPOS:NN OP:NONE EM:NONE
KEY:NONE --- 2@1 --- 外壳 NN DP:nsubj DPW:距 DPPOS:VV OP:NONE EM:NONE
KEY:NONE --- 3@2 --- , PU DP:NONE DPW:NONE DPPOS:NONE OP:NONE EM:NONE
KEY:NONE --- 4@3 --- 28 CD DP:assmod DPW:广角 DPPOS:NN OP:NONE EM:NONE
KEY:NONE --- 5@4 --- 的 DEG DP:assm DPW:28 DPPOS:CD OP:NONE EM:NONE
KEY:NONE --- 6@5 --- 广角 NN DP:nsubj DPW:距 DPPOS:VV OP:NONE EM:NONE
KEY:NONE --- 7@6 --- , PU DP:NONE DPW:NONE DPPOS:NONE OP:NONE EM:NONE
KEY:NONE --- 8@7 --- 1.8 CD DP:assmod DPW:和 DPPOS:NN OP:NONE EM:NONE
KEY:NONE --- 9@8 --- 的 DEG DP:assm DPW:1.8 DPPOS:CD OP:NONE EM:NONE
KEY:NONE --- 10@9 --- LCD NN DP:nn DPW:和 DPPOS:NN OP:NONE EM:NONE
KEY:NONE --- 11@10 --- 和 NN DP:nsubj DPW:距 DPPOS:VV OP:NONE EM:NONE
KEY:NONE --- 12@11 --- 微 AD DP:advmod DPW:距 DPPOS:VV OP:NONE EM:NONE
KEY:NONE --- 13@12 --- 距 VV DP:root DPW:ROOT DPPOS:ROOT OP:NONE EM:NONE

KEY:ATTR --- 0@-1 --- 像 VV DP:root DPW:ROOT DPPOS:ROOT OP:NONE EM:NONE
KEY:ATTR --- 1@0 --- 素 AD DP:advmod DPW:低 DPPOS:VA OP:NONE EM:NONE
KEY:NONE --- 2@1 --- 太 AD DP:advmod DPW:低 DPPOS:VA OP:NONE EM:NONE
KEY:OP --- 3@2 --- 低 VA DP:ccomp DPW:像 DPPOS:VV OP:NONE EM:NONE
KEY:NONE --- 4@3 --- ! PU DP:NONE DPW:NONE DPPOS:NONE OP:NONE EM:NONE

KEY:NONE --- 0@-1 --- 和 P DP:prep DPW:用 DPPOS:VV OP:NONE EM:NONE
KEY:NONE --- 1@0 --- 笔记本电脑 NN DP:pobj DPW:和 DPPOS:P OP:NONE EM:NONE
KEY:NONE --- 2@1 --- 一起 AD DP:advmod DPW:用 DPPOS:VV OP:NONE EM:NONE
KEY:NONE --- 3@2 --- 用 VV DP:root DPW:ROOT DPPOS:ROOT OP:NONE EM:NONE
KEY:NONE --- 4@3 --- 很 AD DP:advmod DPW:方便 DPPOS:VA OP:NONE EM:NONE
KEY:OP --- 5@4 --- 方便 VA DP:ccomp DPW:用 DPPOS:VV OP:POS EM:NONE
KEY:NONE --- 6@5 --- . PU DP:NONE DPW:NONE DPPOS:NONE OP:NONE EM:NONE

KEY:NONE --- 0@-1 --- 广角 NN DP:lobj DPW:端 DPPOS:LC OP:NONE EM:NONE
KEY:NONE --- 1@0 --- 端 LC DP:nsubj DPW:距 DPPOS:VV OP:NONE EM:NONE
KEY:NONE --- 2@1 --- 的 DEG DP:assm DPW:端 DPPOS:LC OP:NONE EM:NONE
KEY:ATTR --- 3@2 --- 微 AD DP:advmod DPW:距 DPPOS:VV OP:NONE EM:NONE
KEY:ATTR --- 4@3 --- 距 VV DP:root DPW:ROOT DPPOS:ROOT OP:NONE EM:NONE
KEY:NONE --- 5@4 --- 为 VC DP:dep DPW:距 DPPOS:VV OP:NONE EM:NONE
KEY:NONE --- 6@5 --- 5CM CD DP:attr DPW:为 DPPOS:VC OP:NONE EM:NONE
KEY:NONE --- 7@6 --- 很 AD DP:advmod DPW:实用 DPPOS:VA OP:NONE EM:NONE
KEY:OP --- 8@7 --- 实用 VA DP:conj DPW:为 DPPOS:VC OP:POS EM:NONE
KEY:NONE --- 9@8 --- . PU DP:NONE DPW:NONE DPPOS:NONE OP:NONE EM:NONE

KEY:NONE --- 0@-1 --- 做成 VV DP:rcmod DPW:照片 DPPOS:NN OP:NONE EM:NONE
KEY:NONE --- 1@0 --- 3R CD DP:range DPW:做成 DPPOS:VV OP:NONE EM:NONE
KEY:NONE --- 2@1 --- 的 DEC DP:cpm DPW:做成 DPPOS:VV OP:NONE EM:NONE
KEY:ATTR --- 3@2 --- 照片 NN DP:nsubj DPW:满足 DPPOS:VV OP:NONE EM:NONE
KEY:NONE --- 4@3 --- 能 VV DP:mmod DPW:满足 DPPOS:VV OP:NONE EM:NONE
KEY:OP --- 5@4 --- 满足 VV DP:root DPW:ROOT DPPOS:ROOT OP:NONE EM:POS
KEY:NONE --- 6@5 --- 平民 NN DP:assmod DPW:要求 DPPOS:NN OP:NONE EM:NONE
KEY:NONE --- 7@6 --- 的 DEG DP:assm DPW:平民 DPPOS:NN OP:NONE EM:NONE
KEY:NONE --- 8@7 --- 要求 NN DP:dobj DPW:满足 DPPOS:VV OP:NONE EM:NONE
